Time	 CoPx	 Distance(d)	 Abs Distance	 Velocity
26861.82	-0.0725	-0.7594	0.7594	-0.0488
26877.32	-0.6013	-0.5288	0.5288	-0.0341
26897.46	-0.1405	0.4608	0.4608	0.0229
26914.04	-0.0705	0.07	0.07	0.0042
26929.93	-0.0655	0.0051	0.0051	0.0003
26946.24	0.0413	0.1068	0.1068	0.0065
26961.71	-0.0056	-0.0469	0.0469	-0.003
26977.29	-0.1235	-0.118	0.118	-0.0076
26994.7	-0.4465	-0.3229	0.3229	-0.0185
27009.74	-0.0138	0.4327	0.4327	0.0288
27029.28	-0.0851	-0.0713	0.0713	-0.0036
27044.79	-0.0737	0.0114	0.0114	0.0007
27060.06	-0.0737	0.0	0.0	0.0
27079.72	-0.057	0.0167	0.0167	0.0008
27095.21	-0.1795	-0.1225	0.1225	-0.0079
27109.89	-0.1716	0.0079	0.0079	0.0005
27129.71	-0.1795	-0.0079	0.0079	-0.0004
27145.13	0.5366	0.7162	0.7162	0.0464
27160.32	-0.1298	-0.6665	0.6665	-0.0439
27180.15	-0.5628	-0.433	0.433	-0.0218
27197.41	-0.0056	0.5572	0.5572	0.0323
27212.6	0.3474	0.3529	0.3529	0.0232
27227.5	0.0543	-0.2931	0.2931	-0.0197
27243.0	-0.1324	-0.1867	0.1867	-0.012
27263.12	-0.0618	0.0706	0.0706	0.0035
27278.28	-0.0156	0.0461	0.0461	0.003
27293.52	-0.1562	-0.1405	0.1405	-0.0092
27313.76	-0.2472	-0.091	0.091	-0.0045
27328.77	-0.1418	0.1054	0.1054	0.007
27345.04	-0.146	-0.0042	0.0042	-0.0003
27360.12	0.8792	1.0252	1.0252	0.068
27379.85	-0.1184	-0.9976	0.9976	-0.0506
27395.03	-0.4021	-0.2837	0.2837	-0.0187
27412.81	-0.0737	0.3283	0.3283	0.0185
27427.52	-0.1584	-0.0847	0.0847	-0.0058
27442.72	-0.1356	0.0228	0.0228	0.0015
27462.9	-0.7306	-0.595	0.595	-0.0295
27478.06	-0.0025	0.7281	0.7281	0.048
27493.11	-0.0851	-0.0826	0.0826	-0.0055
27513.29	-0.1412	-0.0561	0.0561	-0.0028
27528.5	-0.0627	0.0785	0.0785	0.0052
27544.11	-0.1235	-0.0608	0.0608	-0.0039
27559.59	-0.5943	-0.4708	0.4708	-0.0304
27579.68	-0.1356	0.4587	0.4587	0.0228
27594.93	0.7824	0.918	0.918	0.0602
27612.41	-1.223	-2.0054	2.0054	-0.1147
27628.24	-0.5527	0.6703	0.6703	0.0423
27643.36	0.4596	1.0123	1.0123	0.0669
27663.79	0.8724	0.4128	0.4128	0.0202
27679.0	-0.0244	-0.8968	0.8968	-0.059
27694.01	0.073	0.0974	0.0974	0.0065
27713.66	-0.0775	-0.1506	0.1506	-0.0077
27728.5	-0.6493	-0.5718	0.5718	-0.0385
27743.65	-0.1659	0.4834	0.4834	0.0319
27763.36	-0.1356	0.0304	0.0304	0.0015
27778.17	-0.1937	-0.0581	0.0581	-0.0039
27793.43	0.5383	0.732	0.732	0.048
27810.47	0.7639	0.2255	0.2255	0.0132
27830.21	-0.1562	-0.92	0.92	-0.0466
27845.26	0.5135	0.6697	0.6697	0.0445
27860.48	-0.7306	-1.2441	1.2441	-0.0817
27880.76	0.0392	0.7698	0.7698	0.038
27896.1	0.0413	0.0021	0.0021	0.0001
27911.96	-0.4246	-0.4659	0.4659	-0.0294
27927.28	-0.1184	0.3063	0.3063	0.02
27947.49	0.4978	0.6162	0.6162	0.0305
27963.21	-0.4503	-0.9482	0.9482	-0.0603
27978.83	-0.1412	0.3092	0.3092	0.0198
27994.09	-0.0156	0.1255	0.1255	0.0082
28010.67	-0.0851	-0.0694	0.0694	-0.0042
28026.09	-0.1184	-0.0333	0.0333	-0.0022
28046.33	-0.0056	0.1128	0.1128	0.0056
28066.88	-0.0156	-0.0101	0.0101	-0.0005
28077.37	0.4676	0.4832	0.4832	0.0461
28097.35	-0.1235	-0.5911	0.5911	-0.0296
28113.1	-0.0025	0.1211	0.1211	0.0077
28128.28	0.0144	0.0169	0.0169	0.0011
