00 0
00 1
00 2
00 3
00 4
00 5
00 6
00 8
00 Data was recorded 60 times per second
00 Date and Time: 2/10/2020 10:14:55 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):66395.94  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):68471.95 force plate (fx, fy, fz, mx, my, mz):-0.01401329,-0.07865334,0.05639648,0.07574463,-0.008148193,-0.0251379
01 timestamp(ms):68505.91 force plate (fx, fy, fz, mx, my, mz):0.318964,0.1764259,0.2434082,0.01208496,-0.02548218,0.111515
01 timestamp(ms):68537.33 force plate (fx, fy, fz, mx, my, mz):0.3067112,0.1686916,-0.1281738,0.01300049,0.04016113,-0.07547569
01 timestamp(ms):68569.8 force plate (fx, fy, fz, mx, my, mz):0.3192539,-0.07008553,-0.130127,0.02337646,0.04074097,0.06962013
01 timestamp(ms):68603.25 force plate (fx, fy, fz, mx, my, mz):-0.01801109,0.1708107,0.05688477,-0.03918457,-0.008300781,0.01729298
01 timestamp(ms):68636.55 force plate (fx, fy, fz, mx, my, mz):-0.02216148,-0.07238388,-0.1325684,-0.08068848,-0.04190063,0.06064129
01 timestamp(ms):68660.24 force plate (fx, fy, fz, mx, my, mz):-0.3483982,-0.08413315,0.2434082,0.02441406,-0.05700684,-0.1191444
01 timestamp(ms):68684.83 force plate (fx, fy, fz, mx, my, mz):-0.3498898,-0.08154678,-0.1306152,-0.07995605,-0.0574646,-0.1185274
01 timestamp(ms):68708.48 force plate (fx, fy, fz, mx, my, mz):-0.0144825,-0.07651329,0.2453613,0.02423096,0.09182739,-0.02489281
01 timestamp(ms):68748.49 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):68772.15 force plate (fx, fy, fz, mx, my, mz):-0.01302147,-0.07267761,0.05639648,-0.1325684,-0.008148193,-0.0237093
01 timestamp(ms):68796.59 force plate (fx, fy, fz, mx, my, mz):-0.01586723,-0.07718086,-0.130127,0.02386475,0.02487183,-0.02486992
01 timestamp(ms):68832.48 force plate (fx, fy, fz, mx, my, mz):0.3199863,-0.06847,0.05688477,-0.02844238,0.007720947,0.07010555
