00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):65018.34 force plate (fx, fy, fz, mx, my, mz):0.5770168,-0.273983,0.6982422,-0.6026611,0.5168457,0.1701226
01 timestamp(ms):65040.56 force plate (fx, fy, fz, mx, my, mz):0.9076996,-0.5284996,-0.9870605,-0.4388428,0.3641052,0.03469515
01 timestamp(ms):65062.79 force plate (fx, fy, fz, mx, my, mz):1.229546,-0.2842503,-1.172119,-0.3978271,0.4123535,-0.01639605
01 timestamp(ms):65084.9 force plate (fx, fy, fz, mx, my, mz):0.8994713,-0.5247936,-1.175537,-0.491272,0.4632874,0.1194816
01 timestamp(ms):65107.06 force plate (fx, fy, fz, mx, my, mz):0.903183,-0.7728081,-0.9880371,-0.4279785,0.3639832,0.07769442
01 timestamp(ms):65129.52 force plate (fx, fy, fz, mx, my, mz):1.232784,-0.5295162,-1.360107,-0.4390869,0.3790283,-0.05772543
01 timestamp(ms):65152.21 force plate (fx, fy, fz, mx, my, mz):1.235739,-0.2844276,0.1386719,-0.3450928,0.3807983,-0.0163331
01 timestamp(ms):65173.82 force plate (fx, fy, fz, mx, my, mz):0.8985043,-0.2943993,0.1391602,-0.2398071,0.3649292,-0.1114984
01 timestamp(ms):65196.39 force plate (fx, fy, fz, mx, my, mz):0.8956318,-0.04801559,0.1381836,-0.2510376,0.3647461,-0.06982088
01 timestamp(ms):65218.66 force plate (fx, fy, fz, mx, my, mz):0.8988705,-0.2932892,-0.04833984,-0.2922974,0.3314514,-0.1111493
01 timestamp(ms):65240.53 force plate (fx, fy, fz, mx, my, mz):0.9092655,-0.03901291,0.3227539,-0.3049316,0.3321533,0.1173587
01 timestamp(ms):65263.15 force plate (fx, fy, fz, mx, my, mz):0.9134007,-0.05310631,1.072998,0.215332,0.3995361,0.1137834
01 timestamp(ms):65285.13 force plate (fx, fy, fz, mx, my, mz):0.9135113,-0.05636024,1.072998,0.319397,0.3330383,0.1131883
01 timestamp(ms):65307.5 force plate (fx, fy, fz, mx, my, mz):0.5775471,-0.06181526,0.8859863,0.2678223,0.416687,0.01880789
01 timestamp(ms):65329.32 force plate (fx, fy, fz, mx, my, mz):0.9124165,-0.05908775,1.073486,0.4237671,0.3995361,0.1123538
01 timestamp(ms):65351.55 force plate (fx, fy, fz, mx, my, mz):1.874849,0.4290295,-3.608887,0.3414307,0.4060974,0.00216198
01 timestamp(ms):65374.21 force plate (fx, fy, fz, mx, my, mz):1.882238,0.4269619,-3.606934,0.3416748,0.4063416,-0.08251476
01 timestamp(ms):65395.75 force plate (fx, fy, fz, mx, my, mz):1.877615,0.6715641,-3.794922,0.3826294,0.3727417,-0.04116344
