00 platetest
00 Data was recorded 60 times per second
00 Date and Time: 11/1/2022 2:40:49 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):37386.41  stage:1 time_period:10 sway_degree:-15 #_of_sways:0 rep:1
01 timestamp(ms):38918.54 force plate (fx, fy, fz, mx, my, mz):-1.550394,-0.3289814,-0.2705078,-2.541687,0.8077393,-0.02038097
01 timestamp(ms):38940.05 force plate (fx, fy, fz, mx, my, mz):-1.544134,-0.08290672,-0.08251953,-2.604797,0.8413391,-0.06305408
01 timestamp(ms):38961.48 force plate (fx, fy, fz, mx, my, mz):-1.867739,-0.08387947,0.1025391,-2.553284,0.7928772,0.02896023
01 timestamp(ms):38984.45 force plate (fx, fy, fz, mx, my, mz):-0.2280807,-0.3237934,-0.08203125,-2.595642,0.4379578,-0.2016969
01 timestamp(ms):39006.91 force plate (fx, fy, fz, mx, my, mz):-0.2228088,-0.08370018,0.1069336,-2.450317,0.4715576,-0.2457995
01 timestamp(ms):39028.11 force plate (fx, fy, fz, mx, my, mz):-0.5499363,-0.3229904,0.2907715,-2.596313,0.4229736,-0.109355
01 timestamp(ms):39056.04 force plate (fx, fy, fz, mx, my, mz):-0.8789978,-0.3227787,-0.0859375,-2.596375,0.407074,-0.01712656
01 timestamp(ms):39076.52 force plate (fx, fy, fz, mx, my, mz):-1.212196,-0.0857029,-0.4594727,-2.606812,0.4573364,-0.1548352
01 timestamp(ms):39094.92 force plate (fx, fy, fz, mx, my, mz):-0.2037849,-0.07652473,-0.4648438,-2.50946,-0.1607361,0.02666521
01 timestamp(ms):39117.34 force plate (fx, fy, fz, mx, my, mz):-0.5315399,-0.3206921,-0.4672852,-2.499451,-0.2427979,0.1620288
01 timestamp(ms):39140.34 force plate (fx, fy, fz, mx, my, mz):-0.1981659,-0.3153782,-0.6542969,-2.447876,-0.2604065,0.2561951
01 timestamp(ms):39161.51 force plate (fx, fy, fz, mx, my, mz):-0.2072029,-0.3181057,-0.465332,-2.602783,-0.227356,0.07049799
01 timestamp(ms):39183.95 force plate (fx, fy, fz, mx, my, mz):-0.2026901,-0.07379723,-0.465332,-2.61377,-0.2272339,0.02749872
01 timestamp(ms):39206.74 force plate (fx, fy, fz, mx, my, mz):-0.1937504,-0.3287849,-1.031982,-2.347595,-0.6603088,0.06900787
01 timestamp(ms):39228.37 force plate (fx, fy, fz, mx, my, mz):-0.2000141,-0.5748653,-1.219971,-2.284485,-0.6939392,0.111681
01 timestamp(ms):39250.82 force plate (fx, fy, fz, mx, my, mz):-0.1926537,-0.3260574,-1.032471,-2.451904,-0.7268066,0.06984138
01 timestamp(ms):39278.73 force plate (fx, fy, fz, mx, my, mz):0.1424675,-0.3189697,-1.032471,-2.452515,-0.7109375,0.1643333
01 timestamp(ms):39298.1 force plate (fx, fy, fz, mx, my, mz):0.8179741,-0.3196564,1.211426,-2.1427,-1.275635,0.250577
01 timestamp(ms):39317.39 force plate (fx, fy, fz, mx, my, mz):0.8199043,-0.07548523,0.8383789,-2.153625,-1.209473,0.2073603
01 timestamp(ms):39340.2 force plate (fx, fy, fz, mx, my, mz):1.148609,-0.3218689,1.215332,-2.141357,-1.19342,0.07353687
01 timestamp(ms):39362.39 force plate (fx, fy, fz, mx, my, mz):0.8231468,-0.3213654,1.213379,-2.141724,-1.208862,0.1658201
01 timestamp(ms):39384.22 force plate (fx, fy, fz, mx, my, mz):1.157612,-0.06825256,1.213379,-2.154175,-1.259644,0.3020678
01 timestamp(ms):39407.05 force plate (fx, fy, fz, mx, my, mz):0.4855709,-0.3338718,-0.1010742,-1.989441,-1.459381,0.1547551
01 timestamp(ms):39428.23 force plate (fx, fy, fz, mx, my, mz):0.4855709,-0.3338718,-0.1010742,-1.989441,-1.459381,0.1547551
01 timestamp(ms):39450.42 force plate (fx, fy, fz, mx, my, mz):0.4888783,-0.08904076,-0.09985352,-2.000183,-1.326263,0.111516
01 timestamp(ms):39473.55 force plate (fx, fy, fz, mx, my, mz):0.4861145,0.1540852,-0.09960938,-1.907349,-1.392944,0.1526008
01 timestamp(ms):39494.88 force plate (fx, fy, fz, mx, my, mz):0.4897213,-0.09067345,0.08740234,-1.947937,-1.425781,0.1114068
01 timestamp(ms):39525.34 force plate (fx, fy, fz, mx, my, mz):0.4823875,0.1437664,-0.2875977,-1.856323,-1.559814,-0.03441763
01 timestamp(ms):39543.16 force plate (fx, fy, fz, mx, my, mz):0.8174,0.154108,-0.2868652,-1.960999,-1.477478,0.06066513
01 timestamp(ms):39561.88 force plate (fx, fy, fz, mx, my, mz):0.8129921,-0.09345436,-0.2885742,-1.845947,-1.544098,0.1030717
01 timestamp(ms):39584.38 force plate (fx, fy, fz, mx, my, mz):0.8129921,-0.09345436,-0.2885742,-1.845947,-1.544098,0.1030717
01 timestamp(ms):39606.33 force plate (fx, fy, fz, mx, my, mz):0.4789963,-0.3486919,-0.4755859,-1.781921,-1.593262,-0.0334239
01 timestamp(ms):39628.29 force plate (fx, fy, fz, mx, my, mz):0.8206348,-0.09176445,0.08813477,-1.949158,-1.476837,0.01912403
01 timestamp(ms):39650.69 force plate (fx, fy, fz, mx, my, mz):0.4881058,-0.09871483,0.4616699,-1.948608,-1.558746,-0.07514858
01 timestamp(ms):39672.53 force plate (fx, fy, fz, mx, my, mz):0.1581268,-0.3425159,0.4587402,-1.937988,-1.57431,0.06013203
01 timestamp(ms):39695.26 force plate (fx, fy, fz, mx, my, mz):0.4835892,-0.3430233,0.4606934,-1.937622,-1.558868,-0.03214931
01 timestamp(ms):39719.54 force plate (fx, fy, fz, mx, my, mz):0.8292408,-0.09238052,0.8347168,-1.950073,-1.80838,0.01987791
01 timestamp(ms):39745.23 force plate (fx, fy, fz, mx, my, mz):0.494482,-0.09835815,0.6467285,-2.001953,-1.857727,-0.07426405
01 timestamp(ms):39762.56 force plate (fx, fy, fz, mx, my, mz):0.491497,0.151268,0.6464844,-2.117371,-1.791382,-0.03199005
01 timestamp(ms):39783.56 force plate (fx, fy, fz, mx, my, mz):0.4897518,0.1494942,0.4592285,-2.065186,-1.82486,-0.03231573
01 timestamp(ms):39806.42 force plate (fx, fy, fz, mx, my, mz):0.4926281,-0.09688187,0.4592285,-2.053833,-1.824707,-0.07399511
01 timestamp(ms):39827.88 force plate (fx, fy, fz, mx, my, mz):2.473297,-0.3231602,-1.601563,-2.102478,-2.232513,0.06060648
01 timestamp(ms):39850.45 force plate (fx, fy, fz, mx, my, mz):2.148201,-0.3215389,-1.791504,-2.155457,-2.281433,0.1532388
01 timestamp(ms):39873.54 force plate (fx, fy, fz, mx, my, mz):1.817596,-0.08432579,-1.791504,-2.165955,-2.29718,0.01574945
01 timestamp(ms):39894.38 force plate (fx, fy, fz, mx, my, mz):2.154205,-0.07982445,-1.416016,-2.061951,-2.280853,0.1096215
01 timestamp(ms):39917.18 force plate (fx, fy, fz, mx, my, mz):2.148201,-0.3215389,-1.791504,-2.155457,-2.281433,0.1532388
01 timestamp(ms):39942.3 force plate (fx, fy, fz, mx, my, mz):0.1599751,-0.3427868,-0.479248,-1.992493,-1.675201,0.06028652
01 timestamp(ms):39961.16 force plate (fx, fy, fz, mx, my, mz):0.1617222,-0.5860729,-0.4797363,-2.0849,-1.675049,0.0193634
01 timestamp(ms):39988.79 force plate (fx, fy, fz, mx, my, mz):0.159502,-0.5857067,-0.4782715,-2.08429,-1.608551,0.01928234
01 timestamp(ms):40007.15 force plate (fx, fy, fz, mx, my, mz):0.1602345,-0.3390274,-0.1047363,-2.095764,-1.608215,0.06101894
01 timestamp(ms):40027.8 force plate (fx, fy, fz, mx, my, mz):0.1602345,-0.3390274,-0.1047363,-2.095764,-1.608215,0.06101894
01 timestamp(ms):40050.29 force plate (fx, fy, fz, mx, my, mz):-0.5043945,-0.3342838,0.4624023,-2.141357,-1.006348,0.1607332
01 timestamp(ms):40072.15 force plate (fx, fy, fz, mx, my, mz):-0.4991493,-0.08835793,0.6494141,-2.204163,-1.039246,0.1182194
01 timestamp(ms):40094.16 force plate (fx, fy, fz, mx, my, mz):-0.8395157,-0.3413715,0.4614258,-2.140747,-1.022217,0.06624317
01 timestamp(ms):40116.98 force plate (fx, fy, fz, mx, my, mz):-0.5168228,-0.5844173,0.6494141,-2.18158,-0.9733887,0.01728296
01 timestamp(ms):40139.58 force plate (fx, fy, fz, mx, my, mz):0.1511211,-0.3280354,-0.6633301,-2.14447,-1.1763,0.2475252
01 timestamp(ms):40163.33 force plate (fx, fy, fz, mx, my, mz):0.4824772,-0.08357239,-0.2854004,-2.154846,-1.093719,0.1122189
