00 Gib
00 HideTextandButton
00 Data was recorded 60 times per second
00 Date and Time: 11/30/2023 5:12:23 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):38833.76  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):41518.09 force plate (fx, fy, fz, mx, my, mz):0.2825699,0.08031082,-0.1125488,0.02581787,-0.02575684,0.1252503
01 timestamp(ms):41554.58 force plate (fx, fy, fz, mx, my, mz):-0.04719734,-0.1697617,0.2634277,-0.06634521,-0.04095459,-0.01010799
01 timestamp(ms):41592.82 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):41627.88 force plate (fx, fy, fz, mx, my, mz):-0.05116081,-0.1711655,0.07641602,-0.0135498,-0.007995605,-0.01051378
01 timestamp(ms):41662.79 force plate (fx, fy, fz, mx, my, mz):-0.3847923,-0.1802483,-0.1105957,0.03814697,-0.05731201,-0.1054091
01 timestamp(ms):41698.64 force plate (fx, fy, fz, mx, my, mz):0.2756805,-0.1704102,-0.1091309,-0.06604004,0.04052734,-0.1026106
01 timestamp(ms):41735.36 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):41771.85 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):41804.46 force plate (fx, fy, fz, mx, my, mz):-0.05079842,-0.1700554,-0.111084,-0.06604004,-0.04144287,-0.01016569
01 timestamp(ms):41844.86 force plate (fx, fy, fz, mx, my, mz):-0.05181313,0.07484055,0.07446289,-0.02539063,-0.07461548,0.0312438
01 timestamp(ms):41879.43 force plate (fx, fy, fz, mx, my, mz):-0.04967499,-0.1731529,-0.1105957,0.03765869,-0.04144287,-0.01091909
01 timestamp(ms):41915.41 force plate (fx, fy, fz, mx, my, mz):-0.3821335,0.06553268,-0.2971191,-0.02459717,-0.02416992,-0.1481404
01 timestamp(ms):41951.75 force plate (fx, fy, fz, mx, my, mz):-0.04792786,-0.1713791,0.07641602,-0.01452637,-0.00793457,-0.01059341
01 timestamp(ms):41987.25 force plate (fx, fy, fz, mx, my, mz):-0.05254364,0.07322311,-0.1125488,0.02642822,-0.04159546,0.03075838
01 timestamp(ms):42022.16 force plate (fx, fy, fz, mx, my, mz):0.2765198,0.07300949,0.263916,0.02648926,-0.02566528,-0.06147003
