00 Gib
00 004
00 ExportNotUsed
00 Data was recorded 30 times per second
00 Date and Time: 11/30/2023 4:56:33 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):58570.13  stage:0 time_period:20 sway_degree:-10 #_of_sways:10 rep:1
01 timestamp(ms):60606.48 force plate (fx, fy, fz, mx, my, mz):0.04813004,-0.1827412,-0.06274414,0.04962158,-0.0512085,0.07014179
01 timestamp(ms):60644.25 force plate (fx, fy, fz, mx, my, mz):0.04801559,-0.1794872,-0.06201172,-0.05432129,0.01528931,0.07073593
01 timestamp(ms):60678.28 force plate (fx, fy, fz, mx, my, mz):0.04250717,0.05611229,0.1279297,-0.01184082,0.04852295,-0.1593857
01 timestamp(ms):60709.81 force plate (fx, fy, fz, mx, my, mz):0.3776283,0.0632,0.1279297,-0.01245117,0.06436157,-0.06489563
01 timestamp(ms):60742.2 force plate (fx, fy, fz, mx, my, mz):0.05263901,0.06156731,-0.06274414,0.03863525,-0.05108643,0.02714252
01 timestamp(ms):60777.8 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):60809.11 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):60842 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):60883.8 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):60916.91 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):60949.84 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):60982.78 force plate (fx, fy, fz, mx, my, mz):0.04076004,0.05433846,-0.05932617,0.04034424,0.01504517,-0.1597118
01 timestamp(ms):61017.04 force plate (fx, fy, fz, mx, my, mz):0.04261398,0.05285835,0.1271973,0.09210205,-0.01797485,-0.1599808
01 timestamp(ms):61050.5 force plate (fx, fy, fz, mx, my, mz):0.3776283,0.0632,0.1279297,-0.01245117,0.06436157,-0.06489563
01 timestamp(ms):61084.49 force plate (fx, fy, fz, mx, my, mz):-0.2818336,0.0535183,0.1254883,0.09143066,0.03308105,-0.06785488
01 timestamp(ms):61116.36 force plate (fx, fy, fz, mx, my, mz):-0.2818584,0.05934334,0.125,-0.1166382,-0.03338623,-0.06626797
01 timestamp(ms):61159.79 force plate (fx, fy, fz, mx, my, mz):0.05326271,0.06643867,0.125,-0.1171265,-0.01754761,0.02822208
01 timestamp(ms):61199.15 force plate (fx, fy, fz, mx, my, mz):-0.2854633,0.05904961,-0.2497559,-0.1162109,-0.03384399,-0.06632519
01 timestamp(ms):61234.39 force plate (fx, fy, fz, mx, my, mz):-0.282589,0.05772591,-0.06201172,-0.06481934,-0.0004272461,-0.06675339
01 timestamp(ms):61277.74 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):61312.91 force plate (fx, fy, fz, mx, my, mz):-0.2843361,0.05595207,-0.2492676,-0.01263428,-0.03390503,-0.06707954
01 timestamp(ms):61348.29 force plate (fx, fy, fz, mx, my, mz):0.05438614,0.06334114,0.1245117,-0.0135498,-0.01760864,0.02746868
01 timestamp(ms):61382.41 force plate (fx, fy, fz, mx, my, mz):0.05365372,0.06172371,-0.0625,0.03833008,0.01541138,0.02698326
01 timestamp(ms):61418.55 force plate (fx, fy, fz, mx, my, mz):0.05438614,0.06334114,0.1245117,-0.0135498,-0.01760864,0.02746868
01 timestamp(ms):61460.79 force plate (fx, fy, fz, mx, my, mz):0.04692078,-0.1822147,-0.06103516,0.05004883,0.08181763,0.06990337
01 timestamp(ms):61499.41 force plate (fx, fy, fz, mx, my, mz):0.3724937,-0.1859798,-0.05981445,0.15448,0.03076172,-0.02297688
01 timestamp(ms):61534.45 force plate (fx, fy, fz, mx, my, mz):-0.2828484,0.05336189,0.1252441,0.09173584,-0.03341675,-0.06769562
01 timestamp(ms):61569.02 force plate (fx, fy, fz, mx, my, mz):0.04261398,0.05285835,0.1271973,0.09210205,-0.01797485,-0.1599808
01 timestamp(ms):61605.06 force plate (fx, fy, fz, mx, my, mz):-0.2854347,0.05322456,-0.248291,0.09173584,0.03262329,-0.0679121
01 timestamp(ms):61636.03 force plate (fx, fy, fz, mx, my, mz):-0.2850685,0.05433464,-0.4362793,0.03924561,-0.0008850098,-0.06756496
01 timestamp(ms):61670.87 force plate (fx, fy, fz, mx, my, mz):-0.2833214,0.05610847,-0.2490234,-0.01293945,0.03259277,-0.06723881
01 timestamp(ms):61707.01 force plate (fx, fy, fz, mx, my, mz):-0.2829552,0.05661583,0.1259766,-0.0123291,0.03308105,-0.06710052
01 timestamp(ms):61745.2 force plate (fx, fy, fz, mx, my, mz):0.04987717,-0.1809673,0.1245117,-0.002563477,-0.01773071,0.07046795
01 timestamp(ms):61782.25 force plate (fx, fy, fz, mx, my, mz):0.05466843,-0.1831722,-0.2480469,-0.002197266,0.04858398,-0.01442623
01 timestamp(ms):61817.96 force plate (fx, fy, fz, mx, my, mz):-0.2859802,-0.1896801,-0.0625,0.04992676,-0.0005493164,-0.02450752
01 timestamp(ms):61850.09 force plate (fx, fy, fz, mx, my, mz):0.0439949,0.05412483,-0.06054688,0.03930664,0.01501465,-0.1597919
01 timestamp(ms):61882.87 force plate (fx, fy, fz, mx, my, mz):0.3877602,0.06865501,-0.06274414,0.03814697,-0.03521729,0.1216345
01 timestamp(ms):61918.8 force plate (fx, fy, fz, mx, my, mz):-0.2750359,0.06244087,-0.06323242,0.03887939,0,0.1193466
01 timestamp(ms):61954.79 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):61990.79 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):62030.37 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):62067.74 force plate (fx, fy, fz, mx, my, mz):-0.2839718,0.05645943,0.1257324,-0.01196289,-0.03335571,-0.06694126
01 timestamp(ms):62105.31 force plate (fx, fy, fz, mx, my, mz):0.05326271,0.06643867,0.125,-0.1171265,-0.01754761,0.02822208
01 timestamp(ms):62147.86 force plate (fx, fy, fz, mx, my, mz):-0.282589,0.05772591,-0.06201172,-0.06481934,-0.0004272461,-0.06675339
01 timestamp(ms):62186.82 force plate (fx, fy, fz, mx, my, mz):0.05114937,0.06355476,0.1257324,-0.01245117,-0.01751709,0.02754879
01 timestamp(ms):62225.64 force plate (fx, fy, fz, mx, my, mz):0.04929543,0.06503105,-0.06176758,-0.06433105,0.01550293,0.02781677
01 timestamp(ms):62262.73 force plate (fx, fy, fz, mx, my, mz):0.05114937,0.06355476,0.1257324,-0.01245117,-0.01751709,0.02754879
01 timestamp(ms):62296.76 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):62335.36 force plate (fx, fy, fz, mx, my, mz):0.04856491,0.06341362,-0.2487793,-0.01251221,0.04846191,0.02733135
01 timestamp(ms):62369.84 force plate (fx, fy, fz, mx, my, mz):-0.2847023,0.054842,-0.0612793,0.03985596,-0.0003967285,-0.06742668
01 timestamp(ms):62402.29 force plate (fx, fy, fz, mx, my, mz):0.05143356,0.06209373,-0.06103516,0.0390625,0.0819397,0.02690411
01 timestamp(ms):62438.28 force plate (fx, fy, fz, mx, my, mz):0.05318069,-0.1811886,-0.06054688,-0.05334473,0.08209229,-0.01401997
01 timestamp(ms):62472 force plate (fx, fy, fz, mx, my, mz):-0.2829552,0.05661583,0.1259766,-0.0123291,0.03308105,-0.06710052
01 timestamp(ms):62505.82 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):62545.66 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):62581.3 force plate (fx, fy, fz, mx, my, mz):0.05263901,0.06156731,-0.06274414,0.03863525,-0.05108643,0.02714252
01 timestamp(ms):62625.01 force plate (fx, fy, fz, mx, my, mz):-1.246513,-1.661428,1.246094,0.37854,0.1885681,0.272047
01 timestamp(ms):62657.71 force plate (fx, fy, fz, mx, my, mz):-1.592262,-1.665022,0.1203613,0.2734985,0.1045227,0.2627363
01 timestamp(ms):62696.7 force plate (fx, fy, fz, mx, my, mz):-0.6234283,0.2925205,-0.2492676,0.08099365,0.01660156,-0.1207266
01 timestamp(ms):62734.74 force plate (fx, fy, fz, mx, my, mz):-0.6194572,0.04886436,-0.2502441,-0.012146,-0.04977417,-0.1615715
01 timestamp(ms):62771.39 force plate (fx, fy, fz, mx, my, mz):-0.2839718,0.05645943,0.1257324,-0.01196289,-0.03335571,-0.06694126
01 timestamp(ms):62808.55 force plate (fx, fy, fz, mx, my, mz):0.3794842,-0.1833324,0.1286621,-0.0007324219,-0.00189209,-0.1064138
01 timestamp(ms):62841.64 force plate (fx, fy, fz, mx, my, mz):0.05300331,0.06207466,0.3122559,0.03930664,-0.05053711,0.02727985
01 timestamp(ms):62881.65 force plate (fx, fy, fz, mx, my, mz):-0.283062,0.5455265,-0.06030273,0.01763916,-0.0004272461,-0.06874847
01 timestamp(ms):62925.54 force plate (fx, fy, fz, mx, my, mz):-0.2818298,-0.191534,-0.06030273,0.05108643,-0.0002441406,-0.1091042
01 timestamp(ms):62960.5 force plate (fx, fy, fz, mx, my, mz):-0.2810993,-0.1899166,0.126709,-0.0007324219,-0.03320313,-0.1086187
01 timestamp(ms):62993.38 force plate (fx, fy, fz, mx, my, mz):0.7113609,0.06962395,-0.2473145,-0.01324463,0.01324463,0.02961731
01 timestamp(ms):63035.55 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):63073.48 force plate (fx, fy, fz, mx, my, mz):0.05329132,-0.1844387,-0.06030273,0.05059814,0.01559448,-0.01461411
01 timestamp(ms):63108.45 force plate (fx, fy, fz, mx, my, mz):-0.2865562,0.0563221,-0.2487793,-0.01190186,0.03262329,-0.0671587
01 timestamp(ms):63146.54 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):63187.7 force plate (fx, fy, fz, mx, my, mz):0.04856491,0.06341362,-0.2487793,-0.01251221,0.04846191,0.02733135
01 timestamp(ms):63233.4 force plate (fx, fy, fz, mx, my, mz):0.3777351,0.05994606,0.1271973,0.09161377,-0.00213623,-0.06549072
01 timestamp(ms):63268.8 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):63300.75 force plate (fx, fy, fz, mx, my, mz):0.0528965,0.0653286,0.3129883,-0.06463623,0.01596069,0.02787495
01 timestamp(ms):63336.63 force plate (fx, fy, fz, mx, my, mz):0.3784657,0.06156349,0.314209,0.03979492,-0.03509521,-0.0650053
01 timestamp(ms):63377.18 force plate (fx, fy, fz, mx, my, mz):0.3768959,-0.1834736,-0.2458496,-0.000793457,0.06408691,-0.1066313
01 timestamp(ms):63412.98 force plate (fx, fy, fz, mx, my, mz):-0.281662,-0.1847553,-0.06274414,0.15448,-0.0001525879,0.1616712
01 timestamp(ms):63448.13 force plate (fx, fy, fz, mx, my, mz):-0.2766762,-0.4282436,-0.06225586,0.06109619,3.051758E-05,0.1206684
01 timestamp(ms):63482.67 force plate (fx, fy, fz, mx, my, mz):0.04950905,-0.4271297,0.126709,0.009765625,-0.01748657,0.02887058
01 timestamp(ms):63525.87 force plate (fx, fy, fz, mx, my, mz):-0.2847023,0.054842,-0.0612793,0.03985596,-0.0003967285,-0.06742668
01 timestamp(ms):63565.07 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):63605.36 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):63641.07 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):63676.75 force plate (fx, fy, fz, mx, my, mz):-0.2843361,0.05595207,-0.2492676,-0.01263428,-0.03390503,-0.06707954
01 timestamp(ms):63709.91 force plate (fx, fy, fz, mx, my, mz):0.04663658,-0.1807537,0.1257324,-0.001464844,-0.01763916,0.07054806
01 timestamp(ms):63747.12 force plate (fx, fy, fz, mx, my, mz):0.05318069,-0.1811886,-0.06054688,-0.05334473,0.08209229,-0.01401997
01 timestamp(ms):63782.46 force plate (fx, fy, fz, mx, my, mz):0.0389061,0.05581474,-0.2468262,-0.01153564,0.04806519,-0.1594439
01 timestamp(ms):63816.64 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):63853.68 force plate (fx, fy, fz, mx, my, mz):0.04929543,0.06503105,-0.06176758,-0.06433105,0.01550293,0.02781677
01 timestamp(ms):63884.7 force plate (fx, fy, fz, mx, my, mz):0.3862667,0.07064247,0.1257324,-0.01293945,-0.001647949,0.1220407
01 timestamp(ms):63918.07 force plate (fx, fy, fz, mx, my, mz):0.3758812,0.06142616,-0.05932617,0.03973389,0.03088379,-0.06522179
01 timestamp(ms):63954.47 force plate (fx, fy, fz, mx, my, mz):0.05329132,-0.1844387,-0.06030273,0.05059814,0.01559448,-0.01461411
01 timestamp(ms):63991.01 force plate (fx, fy, fz, mx, my, mz):0.05041885,0.06193733,-0.0612793,0.03936768,0.01544189,0.02706337
01 timestamp(ms):64027.61 force plate (fx, fy, fz, mx, my, mz):0.05114937,0.06355476,0.1257324,-0.01245117,-0.01751709,0.02754879
01 timestamp(ms):64063.4 force plate (fx, fy, fz, mx, my, mz):0.0528965,0.0653286,0.3129883,-0.06463623,0.01596069,0.02787495
01 timestamp(ms):64101.28 force plate (fx, fy, fz, mx, my, mz):0.05078506,0.06304741,-0.2492676,-0.01312256,-0.01806641,0.02741051
01 timestamp(ms):64137.94 force plate (fx, fy, fz, mx, my, mz):-0.2848091,0.05809593,-0.06152344,-0.06408691,0.06610107,-0.06683254
