00 datatest
00 Data was recorded 60 times per second
00 Date and Time: 1/23/2023 2:14:48 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):23052.57  stage:1 time_period:10 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):24478.77 force plate (fx, fy, fz, mx, my, mz):-0.0522747,-0.00892067,0.05224609,0.09576416,-0.02459717,0.02868271
01 timestamp(ms):24494.21 force plate (fx, fy, fz, mx, my, mz):-0.05034637,0.2352352,-0.3212891,0.08483887,0.04156494,-0.01453304
01 timestamp(ms):24514.16 force plate (fx, fy, fz, mx, my, mz):-0.04848862,0.2337627,-0.1347656,0.1365967,0.008544922,-0.01480198
01 timestamp(ms):24529.83 force plate (fx, fy, fz, mx, my, mz):-0.05263901,-0.009431839,-0.3227539,0.09509277,-0.02505493,0.02854538
01 timestamp(ms):24545.67 force plate (fx, fy, fz, mx, my, mz):-0.05238152,-0.005674362,0.05175781,-0.008117676,0.04190063,0.0292778
01 timestamp(ms):24562.95 force plate (fx, fy, fz, mx, my, mz):-0.05238152,-0.005674362,0.05175781,-0.008117676,0.04190063,0.0292778
01 timestamp(ms):24578.31 force plate (fx, fy, fz, mx, my, mz):-0.05503654,-0.2514553,0.2373047,0.05462646,0.008758545,0.07200813
01 timestamp(ms):24593.97 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):24609.95 force plate (fx, fy, fz, mx, my, mz):-0.3733311,0.2391376,0.05078125,-0.01959229,0.02658081,0.07856369
01 timestamp(ms):24627.24 force plate (fx, fy, fz, mx, my, mz):-0.3760986,-0.003391266,0.2370605,-0.06079102,0.05996704,0.1218886
01 timestamp(ms):24646.78 force plate (fx, fy, fz, mx, my, mz):-0.04914284,-0.2509365,-0.1352539,-0.04937744,0.008575439,-0.01205158
01 timestamp(ms):24662.55 force plate (fx, fy, fz, mx, my, mz):0.2827396,0.001420975,0.05175781,-0.008728027,0.05773926,0.1237679
01 timestamp(ms):24677.92 force plate (fx, fy, fz, mx, my, mz):0.2806301,-0.001466751,0.05224609,0.09588623,0.05776978,0.1230936
01 timestamp(ms):24693.19 force plate (fx, fy, fz, mx, my, mz):-0.04410362,0.001264572,-0.3251953,-0.009460449,-0.0246582,0.2160749
01 timestamp(ms):24713.01 force plate (fx, fy, fz, mx, my, mz):-0.04750252,0.2397404,-0.1352539,-0.07159424,0.008544922,-0.01337337
01 timestamp(ms):24727.94 force plate (fx, fy, fz, mx, my, mz):-0.04739189,0.2364864,-0.1357422,0.0322876,-0.05795288,-0.01396847
01 timestamp(ms):24743.48 force plate (fx, fy, fz, mx, my, mz):-0.04750252,0.2397404,-0.1352539,-0.07159424,0.008544922,-0.01337337
01 timestamp(ms):24765.69 force plate (fx, fy, fz, mx, my, mz):-0.04564476,0.2382603,0.05126953,-0.01983643,-0.0244751,-0.01364231
01 timestamp(ms):24776.03 force plate (fx, fy, fz, mx, my, mz):0.2849598,0.001047134,0.05126953,-0.009338379,-0.008758545,0.123847
01 timestamp(ms):24795.72 force plate (fx, fy, fz, mx, my, mz):-0.05652809,-0.2488689,-0.137207,-0.04962158,0.008300781,0.07262516
01 timestamp(ms):24810.47 force plate (fx, fy, fz, mx, my, mz):-0.0522747,-0.00892067,0.05224609,0.09576416,-0.02459717,0.02868271
01 timestamp(ms):24830.55 force plate (fx, fy, fz, mx, my, mz):-0.04353333,0.2405434,0.6135254,-0.07141113,0.009490967,-0.0131793
01 timestamp(ms):24846.4 force plate (fx, fy, fz, mx, my, mz):-0.3749714,-0.2515392,0.05078125,0.002624512,0.02661133,0.07988548
01 timestamp(ms):24861.62 force plate (fx, fy, fz, mx, my, mz):-0.3697262,-0.005620956,0.2387695,-0.0602417,-0.006286621,0.03737164
01 timestamp(ms):24876.93 force plate (fx, fy, fz, mx, my, mz):-0.372488,0.2375011,0.2373047,0.03240967,-0.07293701,0.07845402
01 timestamp(ms):24897.38 force plate (fx, fy, fz, mx, my, mz):-0.05052757,-0.007146835,0.2392578,0.04364014,0.008880615,0.02900887
01 timestamp(ms):24913.32 force plate (fx, fy, fz, mx, my, mz):0.2835007,-0.002790451,0.2397461,0.1474609,0.09124756,0.1226654
01 timestamp(ms):24928.73 force plate (fx, fy, fz, mx, my, mz):0.2842312,-0.001173019,0.4267578,0.09564209,0.05822754,0.1231508
01 timestamp(ms):24943.82 force plate (fx, fy, fz, mx, my, mz):-0.04976082,-0.2564106,0.2397461,0.1594849,0.009063721,-0.01334286
01 timestamp(ms):24963.38 force plate (fx, fy, fz, mx, my, mz):-0.05041695,-0.01040077,0.2387695,0.147644,-0.05761719,0.02841473
01 timestamp(ms):24980.43 force plate (fx, fy, fz, mx, my, mz):-0.372858,0.23699,-0.1376953,0.03179932,-0.07339478,0.07831669
01 timestamp(ms):24996.06 force plate (fx, fy, fz, mx, my, mz):-0.04739189,0.2364864,-0.1357422,0.0322876,-0.05795288,-0.01396847
01 timestamp(ms):25010.64 force plate (fx, fy, fz, mx, my, mz):-0.05311203,-0.007291794,-0.1352539,0.04370117,0.07492065,0.02879238
01 timestamp(ms):25030.3 force plate (fx, fy, fz, mx, my, mz):-0.04848862,0.2337627,-0.1347656,0.1365967,0.008544922,-0.01480198
01 timestamp(ms):25045.33 force plate (fx, fy, fz, mx, my, mz):-0.04601097,0.237154,0.2392578,0.03265381,0.009002686,-0.0139904
