00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):79809.18 force plate (fx, fy, fz, mx, my, mz):-1.704901,-1.465757,-1.772461,-7.798645,9.572968,0.1582279
01 timestamp(ms):79831.41 force plate (fx, fy, fz, mx, my, mz):-1.704981,-1.713392,-1.958496,-7.734924,9.672577,0.1159849
01 timestamp(ms):79859.7 force plate (fx, fy, fz, mx, my, mz):-2.03092,-1.710135,-2.334473,-7.840027,9.723145,0.2087259
01 timestamp(ms):79875.88 force plate (fx, fy, fz, mx, my, mz):-2.369928,-1.471003,-2.334473,-7.850281,9.640656,0.1560707
01 timestamp(ms):79897.52 force plate (fx, fy, fz, mx, my, mz):-1.711199,-1.462938,-2.52002,-7.902283,9.704987,0.1585484
01 timestamp(ms):79919.47 force plate (fx, fy, fz, mx, my, mz):-1.094473,-0.4057789,-1.934082,-9.120911,11.96631,0.639873
01 timestamp(ms):79941.95 force plate (fx, fy, fz, mx, my, mz):-0.7719707,-0.4075375,-2.118652,-9.067932,12.08118,0.5470214
01 timestamp(ms):79964.22 force plate (fx, fy, fz, mx, my, mz):-0.7712383,-0.40592,-1.931641,-9.119812,12.04822,0.5475068
01 timestamp(ms):79986.55 force plate (fx, fy, fz, mx, my, mz):-0.7800846,-0.6521397,-2.493652,-9.056641,12.0806,0.5899634
01 timestamp(ms):80008.45 force plate (fx, fy, fz, mx, my, mz):-1.10306,-0.6482372,-2.121582,-9.161194,12.06561,0.6830602
01 timestamp(ms):80031.21 force plate (fx, fy, fz, mx, my, mz):-2.785095,-0.8497543,-5.860352,-9.867493,13.84665,1.478097
01 timestamp(ms):80052.89 force plate (fx, fy, fz, mx, my, mz):-2.786657,-1.09281,-5.674316,-9.908813,13.74704,1.521663
01 timestamp(ms):80075.41 force plate (fx, fy, fz, mx, my, mz):-2.78618,-1.095552,-5.299316,-9.804321,13.68103,1.521206
01 timestamp(ms):80097.66 force plate (fx, fy, fz, mx, my, mz):-2.786657,-1.09281,-5.674316,-9.908813,13.74704,1.521663
